nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,data_source
POR,MF,30,1994,34.0,9,85,24,28.2,2.5,0.71,0.06,0.21,4,6,big5_club
CMR,"MF,FW",25,1999,29.0,11,73,32,43.8,2.52,1.1,0.15,0.34,0,0,big5_club
BRA,MF,33,1992,28.6,9,52,18,34.6,1.82,0.63,0.17,0.5,0,0,big5_club
POR,"DF,MF",26,1999,29.0,1,24,6,25.0,0.83,0.21,0.04,0.17,0,0,big5_club
ENG,DF,32,1993,18.4,1,14,4,28.6,0.76,0.22,0.07,0.25,0,0,big5_club
ENG,MF,18,2007,1.2,0,1,0,0.0,0.83,0.0,0.0,,0,0,big5_club
NED,"FW,MF",24,2001,7.0,2,25,9,36.0,3.59,1.29,0.08,0.22,0,0,big5_club
ENG,MF,20,2005,18.5,1,13,3,23.1,0.7,0.16,0.08,0.33,0,0,big5_club
FRA,DF,19,2005,19.3,0,9,3,33.3,0.47,0.16,0.0,0.0,0,0,big5_club
ARG,DF,27,1998,13.7,0,5,0,0.0,0.36,0.0,0.0,,0,0,big5_club
ENG,DF,30,1995,35.8,1,10,3,30.0,0.28,0.08,0.1,0.33,0,0,big5_club
URU,MF,24,2001,9.9,0,13,1,7.7,1.32,0.1,0.0,0.0,0,0,big5_club
ENG,MF,26,1999,11.3,3,19,5,26.3,1.68,0.44,0.16,0.6,0,0,big5_club
BRA,"MF,FW",26,1999,27.7,10,90,35,38.9,3.25,1.26,0.11,0.29,0,0,big5_club
NED,DF,25,1999,13.0,1,11,3,27.3,0.85,0.23,0.09,0.33,0,0,big5_club
MAR,"DF,MF",27,1997,10.9,0,5,0,0.0,0.46,0.0,0.0,,0,0,big5_club
DEN,MF,20,2004,16.1,4,25,11,44.0,1.55,0.68,0.16,0.36,0,0,big5_club
BEL,GK,23,2002,32.0,0,0,0,,0.0,0.0,,,0,0,big5_club
ENG,FW,18,2007,0.5,0,4,1,25.0,8.37,2.09,0.0,0.0,0,0,big5_club
SCO,MF,18,2007,0.2,0,0,0,,0.0,0.0,,,0,0,big5_club
ENG,DF,20,2005,0.0,0,0,0,,0.0,0.0,,,0,0,big5_club
NED,DF,25,1999,0.2,0,0,0,,0.0,0.0,,,0,0,big5_club
ENG,GK,27,1998,11.2,0,0,0,,0.0,0.0,,,0,0,big5_club
IRL,DF,21,2004,0.1,0,0,0,,0.0,0.0,,,0,0,big5_club
SWE,"FW,MF",23,2002,14.7,0,17,4,23.5,1.16,0.27,0.0,0.0,0,0,big5_club
ENG,FW,24,2001,19.9,6,48,20,41.7,2.41,1.0,0.06,0.15,3,3,big5_club
BRA,MF,27,1997,27.3,9,42,23,54.8,1.54,0.84,0.17,0.3,2,2,big5_club
ENG,DF,33,1992,24.4,1,10,3,30.0,0.41,0.12,0.1,0.33,0,0,big5_club
SWE,DF,30,1994,0.5,0,0,0,,0.0,0.0,,,0,0,big5_club
SUI,DF,33,1991,12.1,0,17,4,23.5,1.4,0.33,0.0,0.0,0,0,big5_club
ENG,"FW,MF",27,1997,21.8,7,58,21,36.2,2.66,0.96,0.12,0.33,0,0,big5_club
ENG,"FW,MF",30,1995,18.0,3,42,13,31.0,2.34,0.72,0.07,0.23,0,0,big5_club
ENG,MF,24,2001,16.1,2,16,4,25.0,0.99,0.25,0.13,0.5,0,0,big5_club
ENG,DF,31,1993,0.2,0,1,0,0.0,4.29,0.0,0.0,,0,0,big5_club
ENG,MF,25,1999,10.9,0,17,6,35.3,1.56,0.55,0.0,0.0,0,0,big5_club
BRA,MF,28,1996,21.7,2,32,11,34.4,1.48,0.51,0.06,0.18,0,0,big5_club
ENG,DF,34,1990,17.6,0,2,0,0.0,0.11,0.0,0.0,,0,0,big5_club
ENG,DF,20,2004,24.2,1,25,6,24.0,1.03,0.25,0.04,0.17,0,0,big5_club
ENG,"MF,DF",19,2006,16.6,1,12,4,33.3,0.72,0.24,0.08,0.25,0,0,big5_club
GER,DF,23,2001,32.9,4,28,14,50.0,0.85,0.42,0.14,0.29,0,0,big5_club
ENG,GK,33,1992,26.8,0,1,1,100.0,0.04,0.04,0.0,0.0,0,0,big5_club
GER,"FW,MF",23,2002,21.1,8,32,13,40.6,1.51,0.62,0.22,0.54,1,1,big5_club
ITA,MF,25,2000,28.2,0,37,8,21.6,1.31,0.28,0.0,0.0,0,0,big5_club
ENG,FW,18,2007,0.2,0,1,0,0.0,6.43,0.0,0.0,,0,0,big5_club
NED,DF,25,2000,20.4,1,15,4,26.7,0.74,0.2,0.07,0.25,0,0,big5_club
ENG,DF,22,2002,14.8,0,3,0,0.0,0.2,0.0,0.0,,0,0,big5_club
DEN,FW,21,2003,9.1,7,23,12,52.2,2.53,1.32,0.3,0.58,0,0,big5_club
COD,FW,28,1996,5.9,1,13,5,38.5,2.2,0.85,0.08,0.2,0,0,big5_club
SCO,GK,29,1996,0.5,0,0,0,,0.0,0.0,,,0,0,big5_club
FRA,FW,23,2002,1.1,0,4,1,25.0,3.75,0.94,0.0,0.0,0,0,big5_club
ENG,MF,24,2000,20.5,3,30,10,33.3,1.47,0.49,0.1,0.3,0,0,big5_club
NZL,FW,33,1991,10.0,3,23,9,39.1,2.3,0.9,0.13,0.33,0,0,big5_club
SUI,MF,24,2000,13.0,1,15,4,26.7,1.15,0.31,0.07,0.25,0,0,big5_club
FRA,MF,22,2002,6.1,0,9,3,33.3,1.46,0.49,0.0,0.0,0,0,big5_club
BRA,MF,27,1998,3.5,0,5,1,20.0,1.43,0.29,0.0,0.0,0,0,big5_club
ENG,MF,22,2002,37.0,4,44,10,22.7,1.19,0.27,0.07,0.3,1,1,big5_club
CIV,MF,27,1997,23.1,2,16,5,31.3,0.69,0.22,0.13,0.4,0,0,big5_club
BRA,FW,24,2001,25.5,6,70,21,30.0,2.74,0.82,0.07,0.24,1,1,big5_club
BRA,DF,20,2005,5.7,0,3,1,33.3,0.52,0.17,0.0,0.0,0,0,big5_club
ENG,MF,22,2002,3.3,0,4,0,0.0,1.21,0.0,0.0,,0,0,big5_club
BRA,GK,29,1996,4.9,0,0,0,,0.0,0.0,,,0,0,big5_club
POR,FW,25,1999,0.1,0,0,0,,0.0,0.0,,,0,0,big5_club
ITA,FW,24,2000,1.4,1,4,1,25.0,2.79,0.7,0.25,1.0,0,0,big5_club
GER,"DF,MF",22,2003,4.0,0,0,0,,0.0,0.0,,,0,0,big5_club
BEL,GK,33,1992,29.6,0,0,0,,0.0,0.0,,,0,0,big5_club
BRA,DF,24,2001,14.9,1,5,2,40.0,0.33,0.13,0.2,0.5,0,0,big5_club
ENG,MF,25,2000,34.4,15,83,32,38.6,2.41,0.93,0.17,0.44,1,1,big5_club
BRA,DF,23,2002,23.7,1,11,4,36.4,0.46,0.17,0.09,0.25,0,0,big5_club
WAL,DF,24,2001,35.6,2,46,19,41.3,1.29,0.53,0.04,0.11,0,0,big5_club
ARG,MF,27,1998,13.1,1,18,5,27.8,1.38,0.38,0.06,0.2,0,0,big5_club
ITA,DF,22,2003,11.4,2,5,3,60.0,0.44,0.26,0.4,0.67,0,0,big5_club
SRB,DF,27,1997,37.5,0,16,1,6.3,0.43,0.03,0.0,0.0,0,0,big5_club
NGA,DF,28,1996,17.6,0,12,1,8.3,0.68,0.06,0.0,0.0,0,0,big5_club
UKR,DF,28,1996,3.9,0,4,2,50.0,1.02,0.51,0.0,0.0,0,0,big5_club
ENG,MF,21,2003,18.8,1,25,11,44.0,1.33,0.59,0.04,0.09,0,0,big5_club
ENG,MF,27,1997,6.9,0,9,2,22.2,1.31,0.29,0.0,0.0,0,0,big5_club
GER,GK,32,1992,3.0,0,0,0,,0.0,0.0,,,0,0,big5_club
NGA,FW,27,1997,5.5,4,15,8,53.3,2.73,1.46,0.27,0.5,0,0,big5_club
ENG,DF,19,2006,1.8,0,0,0,,0.0,0.0,,,0,0,big5_club
COD,DF,31,1993,1.4,0,1,0,0.0,0.71,0.0,0.0,,0,0,big5_club
BFA,"MF,FW",29,1995,7.0,1,12,6,50.0,1.71,0.85,0.08,0.17,0,0,big5_club
NED,FW,23,2002,21.4,7,36,18,50.0,1.68,0.84,0.19,0.39,0,0,big5_club
MAR,"MF,FW",20,2005,17.3,4,25,10,40.0,1.44,0.58,0.16,0.4,0,0,big5_club
ENG,MF,18,2007,8.5,1,12,3,25.0,1.42,0.35,0.08,0.33,0,0,big5_club
ENG,MF,23,2001,0.2,0,0,0,,0.0,0.0,,,0,0,big5_club
NIR,DF,25,1999,23.9,2,26,9,34.6,1.09,0.38,0.08,0.22,0,0,big5_club
LVA,DF,23,2002,3.6,0,1,0,0.0,0.28,0.0,0.0,,0,0,big5_club
ESP,"FW,MF",20,2005,8.4,2,13,6,46.2,1.54,0.71,0.15,0.33,0,0,big5_club
FRA,"MF,FW",25,2000,32.6,5,36,12,33.3,1.11,0.37,0.06,0.17,3,4,big5_club
SUI,MF,32,1992,32.3,1,21,5,23.8,0.65,0.15,0.05,0.2,0,0,big5_club
SEN,MF,21,2004,15.6,2,26,8,30.8,1.67,0.51,0.04,0.13,1,1,big5_club
NED,DF,22,2003,1.5,0,0,0,,0.0,0.0,,,0,0,big5_club
CIV,MF,20,2005,0.4,0,0,0,,0.0,0.0,,,0,0,big5_club
ENG,DF,30,1994,6.3,0,4,1,25.0,0.63,0.16,0.0,0.0,0,0,big5_club
NED,"DF,MF",25,2000,18.8,0,11,3,27.3,0.58,0.16,0.0,0.0,0,0,big5_club
ESP,FW,19,2006,0.2,0,1,0,0.0,6.0,0.0,0.0,,0,0,big5_club
SWE,GK,22,2003,3.0,0,0,0,,0.0,0.0,,,0,0,big5_club
ECU,MF,22,2003,4.5,0,7,3,42.9,1.56,0.67,0.0,0.0,0,0,big5_club
COD,MF,20,2004,32.1,0,19,5,26.3,0.59,0.16,0.0,0.0,0,0,big5_club
FRA,DF,27,1997,30.9,3,26,4,15.4,0.84,0.13,0.12,0.75,0,0,big5_club
PAR,DF,28,1996,31.1,1,24,9,37.5,0.77,0.29,0.04,0.11,0,0,big5_club
ENG,"FW,MF",28,1997,0.3,0,1,0,0.0,3.21,0.0,0.0,,0,0,big5_club
MOZ,DF,31,1994,21.8,0,4,0,0.0,0.18,0.0,0.0,,0,0,big5_club
NED,GK,22,2003,35.0,0,0,0,,0.0,0.0,,,0,0,big5_club
ENG,MF,22,2003,4.6,0,7,2,28.6,1.53,0.44,0.0,0.0,0,0,big5_club
CIV,"MF,FW",23,2002,7.3,1,6,2,33.3,0.83,0.28,0.17,0.5,0,0,big5_club
NIR,"DF,MF",23,2002,33.7,2,34,7,20.6,1.01,0.21,0.06,0.29,0,0,big5_club
HAI,FW,24,2000,12.9,6,43,17,39.5,3.32,1.31,0.14,0.35,0,0,big5_club
CZE,GK,22,2003,7.0,0,0,0,,0.0,0.0,,,0,0,big5_club
ENG,"MF,DF",19,2006,16.4,2,11,5,45.5,0.67,0.3,0.18,0.4,0,0,big5_club
WAL,DF,32,1993,1.5,1,2,2,100.0,1.31,1.31,0.5,0.5,0,0,big5_club
WAL,"MF,FW",24,2001,6.8,2,6,2,33.3,0.89,0.3,0.33,1.0,0,0,big5_club
ENG,MF,18,2007,0.2,0,0,0,,0.0,0.0,,,0,0,big5_club
ENG,MF,25,2000,13.2,1,11,4,36.4,0.84,0.3,0.09,0.25,0,0,big5_club
ARG,DF,27,1998,20.8,4,17,6,35.3,0.82,0.29,0.24,0.67,0,0,big5_club
ENG,FW,21,2004,0.1,0,0,0,,0.0,0.0,,,0,0,big5_club
ITA,"DF,MF",22,2002,14.9,0,4,1,25.0,0.27,0.07,0.0,0.0,0,0,big5_club
ENG,"DF,MF",24,2000,22.8,0,13,8,61.5,0.57,0.35,0.0,0.0,0,0,big5_club
ENG,FW,27,1997,11.1,3,20,11,55.0,1.8,0.99,0.15,0.27,0,0,big5_club
ITA,GK,28,1996,31.0,0,0,0,,0.0,0.0,,,0,0,big5_club
ENG,"FW,MF",28,1996,0.4,0,2,0,0.0,4.86,0.0,0.0,,0,0,big5_club
ENG,DF,19,2006,0.0,0,0,0,,0.0,0.0,,,0,0,big5_club
POR,MF,30,1995,24.4,5,33,9,27.3,1.35,0.37,0.15,0.56,0,0,big5_club
ENG,DF,16,2008,0.0,0,0,0,,0.0,0.0,,,0,0,big5_club
AUT,DF,26,1998,16.6,0,11,2,18.2,0.66,0.12,0.0,0.0,0,0,big5_club
SWE,MF,19,2006,10.7,1,12,5,41.7,1.12,0.47,0.08,0.2,0,0,big5_club
FRA,"MF,FW",20,2005,15.0,4,35,8,22.9,2.34,0.53,0.11,0.5,0,0,big5_club
NED,DF,24,2001,33.8,4,16,6,37.5,0.47,0.18,0.25,0.67,0,0,big5_club
GHA,"MF,FW",24,2000,17.1,2,26,9,34.6,1.52,0.53,0.08,0.22,0,0,big5_club
SEN,MF,22,2002,15.5,2,17,6,35.3,1.1,0.39,0.12,0.33,0,0,big5_club
ESP,DF,25,1999,31.1,1,32,8,25.0,1.03,0.26,0.03,0.13,0,0,big5_club
ROU,DF,23,2002,5.7,0,4,0,0.0,0.7,0.0,0.0,,0,0,big5_club
FRA,"FW,MF",26,1998,18.5,1,20,4,20.0,1.08,0.22,0.05,0.25,0,0,big5_club
BRA,"FW,MF",28,1997,21.8,11,61,26,42.6,2.8,1.19,0.18,0.42,0,0,big5_club
URU,MF,28,1997,20.9,1,13,3,23.1,0.62,0.14,0.08,0.33,0,0,big5_club
BRA,MF,19,2006,1.6,0,1,1,100.0,0.62,0.62,0.0,0.0,0,0,big5_club
FRA,"MF,FW",20,2004,10.9,0,21,8,38.1,1.92,0.73,0.0,0.0,0,0,big5_club
NED,"MF,FW",22,2003,19.5,2,42,10,23.8,2.15,0.51,0.05,0.2,0,0,big5_club
MLI,MF,28,1996,6.7,0,5,2,40.0,0.75,0.3,0.0,0.0,0,0,big5_club
COD,"DF,MF",27,1997,23.1,0,0,0,,0.0,0.0,,,0,0,big5_club
ESP,"FW,MF",29,1996,1.3,0,2,0,0.0,1.49,0.0,0.0,,0,0,big5_club
FRA,GK,32,1993,20.0,0,0,0,,0.0,0.0,,,0,0,big5_club
SCO,MF,25,2000,1.8,0,0,0,,0.0,0.0,,,0,0,big5_club
FRA,DF,27,1998,13.9,0,5,3,60.0,0.36,0.22,0.0,0.0,0,0,big5_club
NIR,FW,20,2004,0.7,0,1,0,0.0,1.5,0.0,0.0,,0,0,big5_club
ENG,FW,33,1992,13.9,7,38,16,42.1,2.73,1.15,0.18,0.44,0,0,big5_club
NED,"MF,FW",23,2001,27.4,5,54,15,27.8,1.97,0.55,0.09,0.33,0,0,big5_club
SEN,"DF,MF",20,2004,30.1,0,18,4,22.2,0.6,0.13,0.0,0.0,0,0,big5_club
BRB,DF,18,2007,1.3,0,1,0,0.0,0.77,0.0,0.0,,0,0,big5_club
ENG,MF,21,2003,13.0,0,3,1,33.3,0.23,0.08,0.0,0.0,0,0,big5_club
ENG,MF,20,2004,0.1,0,0,0,,0.0,0.0,,,0,0,big5_club
ARG,MF,31,1994,2.0,0,1,0,0.0,0.5,0.0,0.0,,0,0,big5_club
BRA,DF,27,1998,1.2,0,0,0,,0.0,0.0,,,0,0,big5_club
ENG,MF,30,1994,4.6,0,2,0,0.0,0.44,0.0,0.0,,0,0,big5_club
ENG,"MF,FW",28,1996,37.8,9,79,28,35.4,2.09,0.74,0.1,0.29,1,1,big5_club
FRA,DF,25,1999,20.2,0,2,0,0.0,0.1,0.0,0.0,,0,0,big5_club
GRE,DF,27,1997,28.2,3,23,8,34.8,0.82,0.28,0.13,0.38,0,0,big5_club
ENG,DF,28,1997,15.4,1,5,3,60.0,0.33,0.2,0.2,0.33,0,0,big5_club
BRA,"MF,FW",27,1997,16.8,4,23,11,47.8,1.37,0.66,0.09,0.18,2,2,big5_club
BRA,FW,19,2006,1.4,0,1,0,0.0,0.72,0.0,0.0,,0,0,big5_club
DEN,GK,25,2000,18.0,0,0,0,,0.0,0.0,,,0,0,big5_club
POR,MF,21,2004,33.5,3,28,8,28.6,0.84,0.24,0.11,0.38,0,0,big5_club
ENG,DF,28,1997,17.3,0,7,1,14.3,0.4,0.06,0.0,0.0,0,0,big5_club
FRA,MF,19,2005,0.8,0,2,0,0.0,2.4,0.0,0.0,,0,0,big5_club
MAR,DF,29,1996,2.0,0,2,0,0.0,1.0,0.0,0.0,,0,0,big5_club
GER,FW,32,1993,4.5,0,9,3,33.3,1.98,0.66,0.0,0.0,0,0,big5_club
ENG,"DF,MF",19,2005,7.3,0,3,0,0.0,0.41,0.0,0.0,,0,0,big5_club
BRA,"MF,FW",21,2004,9.1,0,12,3,25.0,1.31,0.33,0.0,0.0,0,0,big5_club
FRA,MF,21,2003,10.9,1,7,2,28.6,0.64,0.18,0.14,0.5,0,0,big5_club
CZE,MF,30,1995,24.4,5,26,14,53.8,1.06,0.57,0.19,0.36,0,0,big5_club
ARG,FW,26,1998,15.4,6,50,22,44.0,3.25,1.43,0.12,0.27,0,0,big5_club
ENG,"FW,MF",28,1997,12.7,2,18,6,33.3,1.42,0.47,0.06,0.17,1,1,big5_club
BRA,MF,24,2001,30.7,1,15,1,6.7,0.49,0.03,0.07,1.0,0,0,big5_club
ENG,"MF,FW",24,2000,5.1,0,6,2,33.3,1.17,0.39,0.0,0.0,0,0,big5_club
ENG,GK,32,1993,3.0,0,0,0,,0.0,0.0,,,0,0,big5_club
NOR,"MF,DF",23,2002,11.7,0,3,0,0.0,0.26,0.0,0.0,,0,0,big5_club
CIV,DF,28,1997,12.2,0,10,3,30.0,0.82,0.25,0.0,0.0,0,0,big5_club
ESP,MF,21,2004,2.6,0,5,1,20.0,1.91,0.38,0.0,0.0,0,0,big5_club
ESP,"MF,DF",22,2002,26.3,1,16,6,37.5,0.61,0.23,0.06,0.17,0,0,big5_club
KOR,"FW,MF",29,1996,16.1,2,19,6,31.6,1.18,0.37,0.05,0.17,1,1,big5_club
CMR,"MF,DF",23,2001,20.5,0,3,1,33.3,0.15,0.05,0.0,0.0,0,0,big5_club
HAI,"MF,FW",27,1998,13.9,1,21,7,33.3,1.51,0.5,0.05,0.14,0,0,big5_club
ENG,MF,15,2009,0.2,0,0,0,,0.0,0.0,,,0,0,big5_club
COL,"FW,MF",27,1997,12.5,1,16,3,18.8,1.28,0.24,0.06,0.33,0,0,big5_club
POR,GK,32,1993,23.0,0,0,0,,0.0,0.0,,,0,0,big5_club
BRA,MF,24,2001,31.4,1,19,7,36.8,0.6,0.22,0.05,0.14,0,0,big5_club
NOR,FW,25,2000,15.6,1,21,7,33.3,1.35,0.45,0.0,0.0,1,2,big5_club
NED,"MF,DF",23,2002,4.7,0,1,1,100.0,0.21,0.21,0.0,0.0,0,0,big5_club
CZE,"DF,MF",26,1999,26.2,2,21,10,47.6,0.8,0.38,0.1,0.2,0,0,big5_club
ZIM,"MF,FW",29,1996,9.7,1,14,6,42.9,1.44,0.62,0.07,0.17,0,0,big5_club
POR,MF,17,2007,19.9,3,41,17,41.5,2.06,0.85,0.07,0.18,0,0,big5_club
IRL,"DF,MF",33,1992,8.7,0,3,0,0.0,0.34,0.0,0.0,,0,0,big5_club
BRA,MF,19,2006,2.9,0,4,1,25.0,1.38,0.35,0.0,0.0,0,0,big5_club
POR,"MF,FW",22,2003,10.7,3,20,6,30.0,1.87,0.56,0.15,0.5,0,0,big5_club
ENG,GK,32,1993,12.0,0,0,0,,0.0,0.0,,,0,0,big5_club
URU,DF,26,1998,28.4,3,10,7,70.0,0.35,0.25,0.3,0.43,0,0,big5_club
AUT,"FW,MF",28,1997,0.2,0,0,0,,0.0,0.0,,,0,0,big5_club
ZIM,MF,21,2003,0.3,0,0,0,,0.0,0.0,,,0,0,big5_club
NGA,FW,24,2000,15.8,3,46,16,34.8,2.92,1.01,0.07,0.19,0,1,big5_club
ENG,MF,19,2006,0.2,1,2,1,50.0,12.86,6.43,0.5,1.0,0,0,big5_club
POR,DF,26,1999,15.8,0,5,2,40.0,0.32,0.13,0.0,0.0,0,0,big5_club
COL,DF,24,2001,23.7,0,30,6,20.0,1.26,0.25,0.0,0.0,0,0,big5_club
ALG,"MF,DF",26,1998,16.6,1,34,12,35.3,2.05,0.72,0.03,0.08,0,0,big5_club
ESP,FW,22,2003,1.4,0,2,1,50.0,1.48,0.74,0.0,0.0,0,0,big5_club
ESP,MF,28,1997,7.3,1,5,1,20.0,0.69,0.14,0.2,1.0,0,0,big5_club
ESP,MF,25,2000,34.6,2,40,13,32.5,1.16,0.38,0.05,0.15,0,0,big5_club
ESP,GK,28,1996,38.0,0,0,0,,0.0,0.0,,,0,0,big5_club
BRA,MF,25,2000,8.4,0,5,1,20.0,0.6,0.12,0.0,0.0,0,0,big5_club
ESP,MF,27,1998,22.1,0,29,5,17.2,1.31,0.23,0.0,0.0,0,0,big5_club
ESP,DF,21,2004,0.0,0,0,0,,0.0,0.0,,,0,0,big5_club
URU,DF,27,1998,3.6,0,3,2,66.7,0.83,0.56,0.0,0.0,0,0,big5_club
ESP,MF,26,1999,14.0,5,12,6,50.0,0.86,0.43,0.17,0.33,3,3,big5_club
ESP,MF,31,1994,15.6,1,9,4,44.4,0.58,0.26,0.11,0.25,0,0,big5_club
ESP,FW,22,2003,0.1,0,1,0,0.0,9.0,0.0,0.0,,0,0,big5_club
MAS,DF,25,1999,8.8,0,8,4,50.0,0.91,0.45,0.0,0.0,0,0,big5_club
CIV,FW,25,1999,6.4,2,15,5,33.3,2.34,0.78,0.13,0.4,0,0,big5_club
ESP,"MF,FW",30,1995,13.8,0,15,4,26.7,1.09,0.29,0.0,0.0,0,0,big5_club
ESP,DF,24,2001,19.3,0,4,1,25.0,0.21,0.05,0.0,0.0,0,0,big5_club
ESP,DF,31,1994,33.3,0,9,3,33.3,0.27,0.09,0.0,0.0,0,0,big5_club
ESP,MF,21,2003,0.0,0,0,0,,0.0,0.0,,,0,0,big5_club
ARG,FW,29,1996,21.8,11,63,21,33.3,2.9,0.97,0.13,0.38,3,3,big5_club
DOM,FW,31,1993,3.2,0,6,3,50.0,1.87,0.94,0.0,0.0,0,0,big5_club
MLI,DF,24,2000,2.4,0,0,0,,0.0,0.0,,,0,0,big5_club
ARG,DF,29,1996,36.0,2,24,8,33.3,0.67,0.22,0.08,0.25,0,0,big5_club
ESP,MF,26,1998,24.8,1,47,13,27.7,1.89,0.52,0.02,0.08,0,0,big5_club
ESP,FW,28,1997,30.2,14,93,36,38.7,3.08,1.19,0.14,0.36,1,1,big5_club
ESP,DF,23,2002,23.8,0,12,3,25.0,0.5,0.13,0.0,0.0,0,0,big5_club
FIN,DF,23,2002,3.1,0,1,1,100.0,0.32,0.32,0.0,0.0,0,0,big5_club
ESP,"DF,MF",19,2005,14.8,0,11,3,27.3,0.74,0.2,0.0,0.0,0,0,big5_club
ESP,"MF,DF",22,2002,14.3,1,14,4,28.6,0.98,0.28,0.07,0.25,0,0,big5_club
ESP,DF,23,2002,9.1,0,2,0,0.0,0.22,0.0,0.0,,0,0,big5_club
ESP,DF,25,2000,18.1,2,13,4,30.8,0.72,0.22,0.15,0.5,0,0,big5_club
ESP,MF,22,2003,14.2,1,12,3,25.0,0.84,0.21,0.08,0.33,0,0,big5_club
ESP,GK,21,2003,1.0,0,0,0,,0.0,0.0,,,0,0,big5_club
ESP,DF,28,1996,15.1,0,5,1,20.0,0.33,0.07,0.0,0.0,0,0,big5_club
ESP,FW,20,2005,0.4,0,1,0,0.0,2.65,0.0,0.0,,0,0,big5_club
ESP,DF,31,1994,22.9,0,15,5,33.3,0.66,0.22,0.0,0.0,0,0,big5_club
ESP,MF,24,2001,0.9,0,1,0,0.0,1.06,0.0,0.0,,0,0,big5_club
ESP,DF,26,1999,28.5,1,17,6,35.3,0.6,0.21,0.06,0.17,0,0,big5_club
ESP,FW,21,2004,0.4,0,1,0,0.0,2.37,0.0,0.0,,0,0,big5_club
ESP,FW,28,1996,26.3,10,84,32,38.1,3.2,1.22,0.11,0.28,1,1,big5_club
GHA,"MF,FW",31,1994,24.0,3,57,20,35.1,2.38,0.83,0.04,0.1,1,1,big5_club
ESP,DF,32,1993,6.7,0,3,1,33.3,0.45,0.15,0.0,0.0,0,0,big5_club
ESP,MF,31,1993,24.5,1,20,2,10.0,0.82,0.08,0.05,0.5,0,0,big5_club
ESP,DF,26,1999,16.7,0,3,0,0.0,0.18,0.0,0.0,,0,0,big5_club
MAR,FW,24,2001,3.2,1,8,4,50.0,2.5,1.25,0.13,0.25,0,0,big5_club
ESP,MF,21,2003,31.5,2,39,11,28.2,1.24,0.35,0.05,0.18,0,0,big5_club
ESP,MF,32,1993,5.2,0,3,0,0.0,0.58,0.0,0.0,,0,0,big5_club
ESP,MF,23,2002,18.6,6,46,16,34.8,2.47,0.86,0.11,0.31,1,2,big5_club
ESP,MF,22,2003,4.1,1,16,4,25.0,3.93,0.98,0.06,0.25,0,0,big5_club
ESP,MF,25,2000,19.9,4,48,15,31.3,2.42,0.76,0.04,0.13,2,2,big5_club
ESP,MF,23,2002,14.5,6,21,10,47.6,1.45,0.69,0.29,0.6,0,0,big5_club
ESP,MF,18,2007,2.2,0,4,1,25.0,1.84,0.46,0.0,0.0,0,0,big5_club
ESP,MF,22,2003,10.4,1,23,7,30.4,2.21,0.67,0.04,0.14,0,0,big5_club
ESP,GK,28,1997,37.0,0,0,0,,0.0,0.0,,,0,0,big5_club
ESP,FW,25,1999,2.1,1,11,5,45.5,5.13,2.33,0.09,0.2,0,0,big5_club
ESP,DF,30,1995,5.7,0,1,0,0.0,0.18,0.0,0.0,,0,0,big5_club
ESP,DF,35,1990,30.1,0,24,5,20.8,0.8,0.17,0.0,0.0,0,0,big5_club
ESP,MF,30,1995,23.9,2,44,20,45.5,1.84,0.84,0.05,0.1,0,0,big5_club
NGA,"FW,MF",27,1997,6.9,4,21,5,23.8,3.06,0.73,0.14,0.6,1,1,big5_club
SRB,DF,22,2003,0.5,0,0,0,,0.0,0.0,,,0,0,big5_club
ESP,"MF,FW",24,2001,17.3,2,29,7,24.1,1.67,0.4,0.07,0.29,0,0,big5_club
NOR,FW,29,1995,22.0,13,68,35,51.5,3.09,1.59,0.19,0.37,0,0,big5_club
FRA,FW,34,1991,16.5,7,47,25,53.2,2.86,1.52,0.15,0.28,0,0,big5_club
FRA,DF,30,1995,15.5,0,5,0,0.0,0.32,0.0,0.0,,0,0,big5_club
ENG,MF,25,2000,7.5,2,13,5,38.5,1.72,0.66,0.15,0.4,0,0,big5_club
ESP,DF,21,2004,1.0,0,0,0,,0.0,0.0,,,0,0,big5_club
SVK,DF,27,1997,27.0,0,21,5,23.8,0.78,0.19,0.0,0.0,0,0,big5_club
ITA,FW,25,2000,2.6,0,7,3,42.9,2.67,1.14,0.0,0.0,0,0,big5_club
ARG,MF,22,2002,23.3,4,36,14,38.9,1.54,0.6,0.11,0.29,0,0,big5_club
ESP,DF,20,2005,0.3,1,3,2,66.7,9.64,6.43,0.33,0.5,0,0,big5_club
SVN,GK,32,1993,30.0,0,0,0,,0.0,0.0,,,0,0,big5_club
ESP,MF,19,2006,0.3,0,1,1,100.0,3.91,3.91,0.0,0.0,0,0,big5_club
ESP,DF,30,1994,1.5,0,0,0,,0.0,0.0,,,0,0,big5_club
ESP,MF,19,2006,1.9,0,2,0,0.0,1.05,0.0,0.0,,0,0,big5_club
ESP,DF,20,2005,3.3,1,2,1,50.0,0.6,0.3,0.5,1.0,0,0,big5_club
USA,MF,23,2001,9.9,0,2,0,0.0,0.2,0.0,0.0,,0,0,big5_club
URU,DF,30,1995,13.1,0,13,3,23.1,0.99,0.23,0.0,0.0,0,0,big5_club
ARG,GK,31,1994,8.0,0,0,0,,0.0,0.0,,,0,0,big5_club
